Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Online Brite Creations,Retail Brite Creations
franco,Franco,Size,11.5,Color,Burgundy,,,franco-11.5-burgundy,1,0
franco,Franco,Size,11.5,Color,Cognac,,,franco-11.5-cognac,1,0
franco,Franco,Size,11.5,Color,Navy,,,franco-11.5-navy,0,0
franco,Franco,Size,12,Color,Burgundy,,,franco-12-burgundy,0,0
franco,Franco,Size,12,Color,Cognac,,,franco-12-cognac,1,0
franco,Franco,Size,12,Color,Navy,,,franco-12-navy,0,0
franco,Franco,Size,13,Color,Burgundy,,,franco-13-burgundy,1,0
franco,Franco,Size,13,Color,Cognac,,,franco-13-cognac,1,0
franco,Franco,Size,13,Color,Navy,,,franco-13-navy,0,0
franco,Franco,Size,14,Color,Burgundy,,,franco-14-burgundy,1,0
franco,Franco,Size,14,Color,Cognac,,,franco-14-cognac,0,0
franco,Franco,Size,14,Color,Navy,,,franco-14-navy,0,0
franco,Franco,Size,15,Color,Burgundy,,,franco-15-burgundy,0,0
franco,Franco,Size,15,Color,Cognac,,,franco-15-cognac,0,0
franco,Franco,Size,15,Color,Navy,,,franco-15-navy,1,0
gino,Gino,Size,7,Color,Brandy/Blue,,,gino-7-brandy/blue,0,0
gino,Gino,Size,7,Color,Neutro/Chocolate,,,gino-7-neutro/chocolate,0,0
gino,Gino,Size,7,Color,Wine/Bone,,,gino-7-wine/bone,0,0
gino,Gino,Size,7.5,Color,Brandy/Blue,,,gino-7.5-brandy/blue,0,0
gino,Gino,Size,7.5,Color,Neutro/Chocolate,,,gino-7.5-neutro/chocolate,0,0
gino,Gino,Size,7.5,Color,Wine/Bone,,,gino-7.5-wine/bone,0,0
gino,Gino,Size,8,Color,Brandy/Blue,,,gino-8-brandy/blue,0,0
gino,Gino,Size,8,Color,Neutro/Chocolate,,,gino-8-neutro/chocolate,0,0
gino,Gino,Size,8,Color,Wine/Bone,,,gino-8-wine/bone,0,0
gino,Gino,Size,8.5,Color,Brandy/Blue,,,gino-8.5-brandy/blue,1,0
gino,Gino,Size,8.5,Color,Neutro/Chocolate,,,gino-8.5-neutro/chocolate,0,0
gino,Gino,Size,8.5,Color,Wine/Bone,,,gino-8.5-wine/bone,1,0
gino,Gino,Size,9,Color,Brandy/Blue,,,gino-9-brandy/blue,0,0
gino,Gino,Size,9,Color,Neutro/Chocolate,,,gino-9-neutro/chocolate,1,0
gino,Gino,Size,9,Color,Wine/Bone,,,gino-9-wine/bone,1,0
gino,Gino,Size,9.5,Color,Brandy/Blue,,,gino-9.5-brandy/blue,0,0
gino,Gino,Size,9.5,Color,Neutro/Chocolate,,,gino-9.5-neutro/chocolate,0,0
gino,Gino,Size,9.5,Color,Wine/Bone,,,gino-9.5-wine/bone,0,0
gino,Gino,Size,10,Color,Brandy/Blue,,,gino-10-brandy/blue,0,0
gino,Gino,Size,10,Color,Neutro/Chocolate,,,gino-10-neutro/chocolate,1,0
gino,Gino,Size,10,Color,Wine/Bone,,,gino-10-wine/bone,1,0
gino,Gino,Size,10.5,Color,Brandy/Blue,,,gino-10.5-brandy/blue,1,0
gino,Gino,Size,10.5,Color,Neutro/Chocolate,,,gino-10.5-neutro/chocolate,1,0
gino,Gino,Size,10.5,Color,Wine/Bone,,,gino-10.5-wine/bone,0,0
gino,Gino,Size,11,Color,Brandy/Blue,,,gino-11-brandy/blue,1,0
gino,Gino,Size,11,Color,Neutro/Chocolate,,,gino-11-neutro/chocolate,0,0
gino,Gino,Size,11,Color,Wine/Bone,,,gino-11-wine/bone,0,0
gino,Gino,Size,11.5,Color,Brandy/Blue,,,gino-11.5-brandy/blue,0,0
gino,Gino,Size,11.5,Color,Neutro/Chocolate,,,gino-11.5-neutro/chocolate,0,0
gino,Gino,Size,11.5,Color,Wine/Bone,,,gino-11.5-wine/bone,1,0
gino,Gino,Size,12,Color,Brandy/Blue,,,gino-12-brandy/blue,1,0
gino,Gino,Size,12,Color,Neutro/Chocolate,,,gino-12-neutro/chocolate,1,0
gino,Gino,Size,12,Color,Wine/Bone,,,gino-12-wine/bone,0,0
gino,Gino,Size,13,Color,Brandy/Blue,,,gino-13-brandy/blue,1,0
gino,Gino,Size,13,Color,Neutro/Chocolate,,,gino-13-neutro/chocolate,1,0
gino,Gino,Size,13,Color,Wine/Bone,,,gino-13-wine/bone,1,0
gino,Gino,Size,14,Color,Brandy/Blue,,,gino-14-brandy/blue,1,0
gino,Gino,Size,14,Color,Neutro/Chocolate,,,gino-14-neutro/chocolate,0,0
gino,Gino,Size,14,Color,Wine/Bone,,,gino-14-wine/bone,0,0
gino,Gino,Size,15,Color,Brandy/Blue,,,gino-15-brandy/blue,0,0
gino,Gino,Size,15,Color,Neutro/Chocolate,,,gino-15-neutro/chocolate,0,0
gino,Gino,Size,15,Color,Wine/Bone,,,gino-15-wine/bone,0,0
giorgio,Giorgio,Size,7,Color,Black,,,giorgio-7-black,0,0
giorgio,Giorgio,Size,7,Color,Cognac,,,giorgio-7-cognac,0,0
giorgio,Giorgio,Size,7,Color,Dark Grey,,,giorgio-7-darkgrey,0,0
giorgio,Giorgio,Size,7,Color,Navy,,,giorgio-7-navy,0,0
giorgio,Giorgio,Size,7.5,Color,Black,,,giorgio-7.5-black,0,0
giorgio,Giorgio,Size,7.5,Color,Cognac,,,giorgio-7.5-cognac,0,0
giorgio,Giorgio,Size,7.5,Color,Dark Grey,,,giorgio-7.5-darkgrey,0,0
giorgio,Giorgio,Size,7.5,Color,Navy,,,giorgio-7.5-navy,0,0
giorgio,Giorgio,Size,8,Color,Black,,,giorgio-8-black,0,0
giorgio,Giorgio,Size,8,Color,Cognac,,,giorgio-8-cognac,1,0
giorgio,Giorgio,Size,8,Color,Dark Grey,,,giorgio-8-darkgrey,1,0
giorgio,Giorgio,Size,8,Color,Navy,,,giorgio-8-navy,1,0
giorgio,Giorgio,Size,8.5,Color,Black,,,giorgio-8.5-black,0,0
giorgio,Giorgio,Size,8.5,Color,Cognac,,,giorgio-8.5-cognac,1,0
giorgio,Giorgio,Size,8.5,Color,Dark Grey,,,giorgio-8.5-darkgrey,1,0
giorgio,Giorgio,Size,8.5,Color,Navy,,,giorgio-8.5-navy,1,0
giorgio,Giorgio,Size,9,Color,Black,,,giorgio-9-black,0,0
giorgio,Giorgio,Size,9,Color,Cognac,,,giorgio-9-cognac,0,0
giorgio,Giorgio,Size,9,Color,Dark Grey,,,giorgio-9-darkgrey,1,0
giorgio,Giorgio,Size,9,Color,Navy,,,giorgio-9-navy,1,0
giorgio,Giorgio,Size,9.5,Color,Black,,,giorgio-9.5-black,0,0
giorgio,Giorgio,Size,9.5,Color,Cognac,,,giorgio-9.5-cognac,0,0
giorgio,Giorgio,Size,9.5,Color,Dark Grey,,,giorgio-9.5-darkgrey,1,0
giorgio,Giorgio,Size,9.5,Color,Navy,,,giorgio-9.5-navy,1,0
giorgio,Giorgio,Size,10,Color,Black,,,giorgio-10-black,0,0
giorgio,Giorgio,Size,10,Color,Cognac,,,giorgio-10-cognac,0,0
giorgio,Giorgio,Size,10,Color,Dark Grey,,,giorgio-10-darkgrey,1,0
giorgio,Giorgio,Size,10,Color,Navy,,,giorgio-10-navy,1,0
giorgio,Giorgio,Size,10.5,Color,Black,,,giorgio-10.5-black,0,0
giorgio,Giorgio,Size,10.5,Color,Cognac,,,giorgio-10.5-cognac,0,0
giorgio,Giorgio,Size,10.5,Color,Dark Grey,,,giorgio-10.5-darkgrey,0,0
giorgio,Giorgio,Size,10.5,Color,Navy,,,giorgio-10.5-navy,1,0
giorgio,Giorgio,Size,11,Color,Black,,,giorgio-11-black,0,0
giorgio,Giorgio,Size,11,Color,Cognac,,,giorgio-11-cognac,0,0
giorgio,Giorgio,Size,11,Color,Dark Grey,,,giorgio-11-darkgrey,1,0
giorgio,Giorgio,Size,11,Color,Navy,,,giorgio-11-navy,1,0
giorgio,Giorgio,Size,11.5,Color,Black,,,giorgio-11.5-black,1,0
giorgio,Giorgio,Size,11.5,Color,Cognac,,,giorgio-11.5-cognac,1,0
giorgio,Giorgio,Size,11.5,Color,Dark Grey,,,giorgio-11.5-darkgrey,1,0
giorgio,Giorgio,Size,11.5,Color,Navy,,,giorgio-11.5-navy,1,0
giorgio,Giorgio,Size,12,Color,Black,,,giorgio-12-black,0,0
giorgio,Giorgio,Size,12,Color,Cognac,,,giorgio-12-cognac,0,0
giorgio,Giorgio,Size,12,Color,Dark Grey,,,giorgio-12-darkgrey,0,0
giorgio,Giorgio,Size,12,Color,Navy,,,giorgio-12-navy,1,0
giorgio,Giorgio,Size,13,Color,Black,,,giorgio-13-black,0,0
giorgio,Giorgio,Size,13,Color,Cognac,,,giorgio-13-cognac,0,0
giorgio,Giorgio,Size,13,Color,Dark Grey,,,giorgio-13-darkgrey,1,0
giorgio,Giorgio,Size,13,Color,Navy,,,giorgio-13-navy,1,0
giorgio,Giorgio,Size,14,Color,Black,,,giorgio-14-black,0,0
giorgio,Giorgio,Size,14,Color,Cognac,,,giorgio-14-cognac,1,0
giorgio,Giorgio,Size,14,Color,Dark Grey,,,giorgio-14-darkgrey,1,0
giorgio,Giorgio,Size,14,Color,Navy,,,giorgio-14-navy,0,0
giorgio,Giorgio,Size,15,Color,Black,,,giorgio-15-black,0,0
giorgio,Giorgio,Size,15,Color,Cognac,,,giorgio-15-cognac,0,0
giorgio,Giorgio,Size,15,Color,Dark Grey,,,giorgio-15-darkgrey,0,0
giorgio,Giorgio,Size,15,Color,Navy,,,giorgio-15-navy,0,0
livio,Livio,Size,7,Color,Navy,,,livio-7-navy,0,0
